"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC0X00007937.hg.1","DRP2",-0.875674855002801,5.71016991265638,-1.71803132576782,0.108288191132217,0.996929427858641,-4.40815386552944
"TC0X00007539.hg.1","GDPD2",1.26943309338828,5.45643366303814,1.71719054654784,0.108445287838483,0.996929427858641,-4.40842444447589
"TC0900009773.hg.1","LRRC19",1.295270750221,7.10194369638271,1.71591841800477,0.108683361736734,0.996929427858641,-4.4088337475097
"TC0600013602.hg.1","FBXO5",-1.01896233346228,5.99444360486476,-1.71410985022388,0.109022619200483,0.996929427858641,-4.40941545592876
"TC1200011720.hg.1","NUP37",-0.879784271166683,6.19999908139624,-1.71358673373139,0.109120920633873,0.996929427858641,-4.40958366915198
"TC1100010290.hg.1","E2F8",-1.27522687489333,7.55131953427605,-1.71224835887652,0.109372776036675,0.996929427858641,-4.41001395034096
"TC0100015550.hg.1","FAM72C",-1.02970075814703,5.83854209213391,-1.70940499144099,0.109909536803043,0.996929427858641,-4.41092766618326
"TC1200012606.hg.1","LRMP",1.23960370745595,5.73148193491601,1.70470071578739,0.110802674258075,0.996929427858641,-4.41243814291859
"TC0400010242.hg.1","PPARGC1A",1.38102160069907,9.1422412264579,1.70326493131933,0.111076533167837,0.996929427858641,-4.41289884292013
"TC0100008602.hg.1","CACHD1",-1.3538739436132,5.69109711708122,-1.70303845769995,0.111119784517447,0.996929427858641,-4.41297149818223
"TC1000006604.hg.1","AKR1E2",-1.24013204853572,7.51013729127627,-1.69908321692166,0.111877531863399,0.996929427858641,-4.41423979685937
"TC1800006748.hg.1","SEH1L",-1.02177675426877,7.73937674349215,-1.69630227223921,0.112413015911869,0.996929427858641,-4.41513087488243
"TC0300009613.hg.1","USP13",-0.88461419611114,5.13037292954083,-1.69595875150396,0.112479318081296,0.996929427858641,-4.41524090832273
"TSUnmapped00000255.hg.1","KIF15",-0.972566844752846,5.2263766779178,-1.69445346274468,0.112770254722679,0.996929427858641,-4.41572296879302
"TC0700011953.hg.1","CYP3A5",1.01883307872692,8.00400837790711,1.69440605076982,0.112779429033911,0.996929427858641,-4.41573814957083
"TC1000010870.hg.1","SRGN",1.63153473672526,7.41041240697647,1.69379668388189,0.112897400954824,0.996929427858641,-4.41593324754066
"TC0400011620.hg.1","ZGRF1",-0.848177288604409,4.49715705298896,-1.68871968008618,0.11388450488443,0.996929427858641,-4.41755768309735
"TC0100017094.hg.1","FAM72A",-0.94260383580949,4.16630445020777,-1.68388617054475,0.114831277535646,0.996929427858641,-4.41910246685368
